PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
7,144203558,16043,Inconclusive,10,,,inconclusive antagonist,inconclusive antagonist,16.9301,-52.4657,inconclusive agonist,6.36298,26.762,inconclusive antagonist,22.5767,-29.9097,inactive,SigmaAldrich
8,144203559,2724411,Inconclusive,5,,,inconclusive,inconclusive antagonist,23.9145,-30.0071,inconclusive agonist,28.4224,27.8125,inactive,,0,inactive,NCI
9,144203560,2724372,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,11.9856,32.8423,inactive,NCI
10,144203561,637566,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
11,144203562,994,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
12,144203563,4766,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
13,144203564,79472,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
14,144203565,3080,Inconclusive,5,,,inconclusive,inconclusive agonist,7.13938,32.1163,inactive,,0,inactive,,0,inactive,NCI
15,144203566,197883,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
16,144203567,51,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
17,144203568,66064,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
18,144203569,66435,Inconclusive,5,,,inconclusive,inconclusive agonist,10.6822,32.8166,inactive,,0,inactive,,0,inactive,NCI
19,144203570,8969,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
20,144203571,10664,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
21,144203572,8739,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Chembridge
22,144203573,4904,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
23,144203574,65463,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
24,144203575,439501,Active,53,,,active agonist,active agonist,0.0393847,52.1584,inactive,,0,active agonist,0.0425266,62.1126,inactive,NCI
25,144203576,65708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Chemical Block
26,144203577,60196259,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
27,144203578,5338,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
28,144203579,3246155,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
29,144203580,5920,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
30,144203581,54724367,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
31,144203582,7329,Inconclusive,5,,,inconclusive,active antagonist,8.81713,-31.1095,active agonist,9.16208,34.3077,inactive,,0,inactive,NIEHS
32,144203583,667466,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,8.01052,22.4445,inactive,,0,inactive,NCI
33,144203584,24403,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
34,144203585,6419941,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
35,144203586,6603108,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
36,144203587,6419978,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
37,144203588,5459110,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
38,144203589,656597,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
39,144203590,3000668,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
40,144203591,22576,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
41,144203592,2333,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,NCI
42,144203593,614,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
43,144203594,94280,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
44,144203595,23664709,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
45,144203596,546,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
46,144203597,16678045,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
47,144203598,14676,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
48,144203599,441358,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
49,144203600,71822,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
50,144203601,443939,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
51,144203602,298391,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
52,144203603,4078,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
53,144203604,2348,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
54,144203605,23667629,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
55,144203606,122820,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,NCI
56,144203607,3151,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
57,144203608,65758,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bionet
58,144203609,5694,Inconclusive,5,,,inconclusive,inconclusive antagonist,17.9333,-32.3633,inconclusive agonist,21.3138,54.4742,inactive,,0,inactive,Microsource
59,144203610,4614,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,14.2449,31.1801,inactive,,0,inactive,NCI
60,144203611,71203,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,4.06451,20.2446,inactive,"Prestwick Chemical, Inc."
61,144203612,3061720,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
62,144203613,35370,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
63,144203614,2266,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
64,144203615,2170,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
65,144203616,1727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
66,144203617,2081,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
67,144203618,1989,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
68,144203619,2130,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
69,144203620,169371,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,fluorescent,Microsource
70,144203621,5283389,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
71,144203622,119,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
72,144203623,1967,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
73,144203624,1935,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
74,144203625,2265,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
75,144203626,135398513,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
76,144203627,2244,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
77,144203628,2141,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
78,144203629,1986,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
79,144203630,2230,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
80,144203631,16231,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
81,144203632,564,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
82,144203633,135401907,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NIEHS
83,144203634,2157,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
84,144203635,2119,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
85,144203636,2123,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
86,144203637,2196,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
87,144203638,4768,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
88,144203639,2471,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
89,144203640,2351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
90,144203641,2284,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
91,144203642,2369,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
92,144203643,2477,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
93,144203644,2717,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
94,144203645,1687,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,26.8325,-38.1857,inactive,BIOMOL
95,144203646,2765,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
96,144203647,2708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
97,144203648,2578,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
98,144203649,2754,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
99,144203650,6241,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
100,144203651,22420,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,SigmaAldrich
101,144203652,72276,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
102,144203653,2727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
103,144203654,4211,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
104,144203655,2554,Active,51,,,active agonist,active agonist,4.41903,93.254,inactive,,0,active agonist,4.25266,89.0385,inactive,SigmaAldrich
105,144203656,2733,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
106,144203657,2756,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
107,144203658,2720,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NIEHS
108,144203659,5309446,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
109,144203660,1547484,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
110,144203661,1355,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
111,144203662,2812,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
112,144203663,2913,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
113,144203664,135398737,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
114,144203665,4652,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
115,144203666,64927,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
116,144203667,2796,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
117,144203668,2801,Inconclusive,5,,,inconclusive,inconclusive agonist,0.713938,252.73,inactive,,0,inactive,,0,inactive,BIOMOL
118,144203669,2803,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
119,144203670,2753,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,18.9959,50.9798,inactive,,0,inactive,SigmaAldrich
120,144203671,2726,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
121,144203672,2762,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
122,144203673,2576,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
123,144203674,19379,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
124,144203675,2910,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
125,144203676,104920,Inconclusive,10,,,inconclusive antagonist,inconclusive antagonist,5.05429,-33.6454,inactive,,0,inconclusive antagonist,22.5767,-39.7708,inactive,BIOMOL
126,144203677,36811,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
127,144203678,3100,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
128,144203679,10649,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
129,144203680,65327,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
130,144203681,6419921,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
131,144203682,3053,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
132,144203683,3019,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
133,144203684,3108,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,6.00704,57.7565,active agonist,23.9145,134.955,active agonist,22.1476,349.689,fluorescent,BIOMOL
134,144203685,4943,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
135,144203686,9363,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,6.08147,29.3562,inactive,,0,inactive,"Prestwick Chemical, Inc."
136,144203687,9363,Inactive,0,,,inactive,inactive,,0,active agonist,10.28,30.4431,inactive,,0,inactive,SigmaAldrich
137,144203688,53708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
138,144203689,8307,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
139,144203690,72016,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,16.9301,46.7024,inactive,BIOMOL
140,144203691,3194,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
141,144203692,6207,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
142,144203693,3396,Inactive,0,,,inactive,inactive,,0,inactive,,0,active antagonist,24.85,-33.061,inactive,BIOMOL
143,144203694,3433,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,26.8325,27.0049,inactive,,0,inactive,BIOMOL
144,144203695,3386,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
145,144203696,3331,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
146,144203697,3372,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
147,144203698,3339,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
148,144203699,3373,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
149,144203700,3442,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
150,144203701,3385,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NIEHS
151,144203702,3356,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
152,144203703,3341,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
153,144203704,3325,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
154,144203705,3397,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
155,144203706,3333,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,16.9301,42.2029,inactive,,0,active agonist,12.4545,37.4132,inconclusive,SigmaAldrich
156,144203707,3478,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
157,144203708,3446,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
158,144203709,3488,Inactive,0,,,inactive,inactive,,0,active agonist,12.4545,30.2578,inactive,,0,inactive,BIOMOL
159,144203710,71401,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
160,144203711,135398740,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
161,144203712,5280961,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,SigmaAldrich
162,144203713,3559,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
163,144203714,9351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
164,144203715,5702293,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
165,144203716,3639,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
166,144203717,774,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
167,144203718,681,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
168,144203719,3657,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
169,144203720,785,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,NIEHS
170,144203721,3672,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
171,144203722,55918,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
172,144203723,3779,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
173,144203724,54459,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
174,144203725,3696,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,14.2449,24.1663,inactive,BIOMOL
175,144203726,133621,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
176,144203727,3827,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
177,144203728,3932,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
178,144203729,3965,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
179,144203730,3878,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
180,144203731,3955,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,BIOMOL
181,144203732,39562,Inconclusive,5,,,inconclusive,inconclusive antagonist,16.9301,-29.9665,inactive,,0,inactive,,0,inactive,SigmaAldrich
182,144203733,3899,Inconclusive,5,,,inconclusive,inconclusive antagonist,9.63848,-34.0215,inconclusive agonist,5.74128,30.8887,inactive,,0,inactive,"Prestwick Chemical, Inc."
183,144203734,3676,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
184,144203735,3883,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
185,144203736,3957,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
186,144203737,4170,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
187,144203738,65710,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
188,144203739,4168,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
189,144203740,4122,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,Microsource
190,144203741,4810,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
191,144203742,4184,Inconclusive,5,,,inconclusive,active agonist,26.8325,258.82,active antagonist,26.8325,-82.0263,active antagonist,26.8325,-36.1245,inactive,BIOMOL
192,144203743,5353788,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
193,144203744,4201,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
194,144203745,6420039,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
195,144203746,896,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
196,144203747,119442,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
197,144203748,51082,Inconclusive,5,,,inconclusive,inconclusive agonist,4.06451,74.1308,inactive,,0,inconclusive,,,inactive,"Prestwick Chemical, Inc."
198,144203749,4032,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
199,144203750,4054,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,26.8325,31.3593,inactive,BIOMOL
200,144203751,4011,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
201,144203752,4507,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
202,144203753,4497,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
203,144203754,4500,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
204,144203755,4567,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
205,144203756,4418,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
206,144203757,4488,Inconclusive,5,,,inconclusive,inconclusive antagonist,10.6822,-62.3443,active agonist,7.85827,52.4241,inactive,,0,inactive,BIOMOL
207,144203758,4495,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
208,144203759,4472,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
209,144203760,4477,Inconclusive,5,,,inconclusive,inconclusive antagonist,0.15089,-36.5949,active agonist,0.179333,40.0838,inactive,,0,inactive,SigmaAldrich
210,144203761,71398,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
211,144203762,4474,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,BIOMOL
212,144203763,4485,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
213,144203764,4493,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,18.9959,31.196,inactive,SigmaAldrich
214,144203765,39214,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
215,144203766,4581,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
216,144203767,4628,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
217,144203768,4636,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
218,144203769,4626,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
219,144203770,4615,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,11.9856,23.0939,inactive,,0,inactive,SigmaAldrich
220,144203771,4847,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
221,144203772,4828,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
222,144203773,4671,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
223,144203774,4740,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
